iter	Passed	Remaining
271	688	1843
272	690	1838
273	691	1832
274	693	1827
275	694	1821
276	695	1816
277	697	1811
278	700	1809
279	704	1810
280	706	1807
281	708	1803
282	709	1798
283	711	1792
284	712	1787
285	714	1782
286	715	1777
287	717	1774
288	719	1770
289	721	1765
290	722	1760
291	724	1755
292	725	1750
293	726	1745
294	728	1740
295	729	1735
296	732	1732
297	733	1728
298	735	1723
299	736	1718
300	737	1713
301	739	1708
302	740	1703
303	742	1698
304	743	1694
305	744	1689
306	746	1684
307	748	1680
308	749	1676
309	751	1672
310	752	1667
311	754	1663
312	755	1658
313	756	1653
314	758	1649
315	759	1644
316	761	1640
317	763	1636
318	764	1631
319	765	1627
320	767	1622
321	768	1618
322	770	1614
323	771	1609
324	773	1605
325	774	1601
326	776	1598
327	778	1594
328	780	1590
329	781	1586
330	782	1582
331	784	1578
332	785	1574
333	788	1571
334	790	1568
335	794	1570
336	797	1568
337	798	1563
338	799	1559
339	801	1555
340	802	1550
341	803	1546
342	805	1543
343	809	1544
344	811	1540
345	812	1536
346	814	1532
347	815	1528
348	817	1524
349	825	1533
350	837	1548
351	838	1544
352	840	1540
353	841	1536
354	843	1532
355	849	1536
356	851	1533
357	852	1528
358	853	1524
359	855	1520
360	856	1516
361	858	1513
362	865	1518
363	866	1514
364	868	1510
365	869	1506
366	871	1502
367	872	1498
368	877	1500
369	879	1496
370	881	1493
371	883	1491
372	884	1487
373	886	1483
374	892	1486
375	895	1485
376	896	1481
377	898	1477
378	899	1474
379	900	1470
380	905	1471
381	910	1472
382	911	1468
383	912	1464
384	914	1460
385	915	1456
386	917	1452
387	923	1456
388	925	1453
389	926	1449
390	928	1445
391	929	1441
392	931	1437
393	932	1434
394	939	1439
395	941	1436
396	943	1432
397	944	1428
398	946	1424
399	947	1421
400	956	1428
401	987	1469
402	991	1468
403	993	1465
404	994	1461
405	1000	1463
406	1003	1461
407	1004	1458
408	1006	1454
409	1007	1450
410	1009	1446
411	1016	1450
412	1018	1447
413	1020	1443
414	1021	1439
415	1022	1435
416	1024	1432
417	1030	1434
418	1032	1432
419	1034	1428
420	1035	1424
421	1037	1420
422	1039	1417
423	1046	1421
424	1048	1418
425	1050	1414
426	1051	1411
427	1053	1408
428	1055	1404
429	1061	1407
430	1063	1404
431	1068	1405
432	1070	1402
433	1078	1406
434	1079	1402
435	1081	1398
436	1082	1394
437	1084	1391
438	1085	1387
439	1091	1389
440	1093	1386
441	1095	1383
442	1097	1379
443	1098	1375
444	1100	1372
445	1107	1375
446	1109	1372
447	1111	1369
448	1143	1403
